pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
Kepler-936,Kepler-936 b,Transit,1,10.56134221,,5482.00,0.92,0.89,,,1.450,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-936_b/,,,4.51,,,0.050,[Fe/H],4.570
Kepler-937,Kepler-937 b,Transit,2,67.66882700,1645.01,6095.00,1.15,1.22,,,3.720,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-937_b/,,,4.32,,,0.080,[Fe/H],3.240
Kepler-937,Kepler-937 c,Transit,2,153.34336400,1645.01,6095.00,1.15,1.22,,,2.670,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-937_c/,,,4.32,,,0.080,[Fe/H],3.240
Kepler-938,Kepler-938 b,Transit,1,52.62984170,,5533.00,0.92,0.89,,,2.220,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-938_b/,,,4.51,,,-0.030,[Fe/H],4.270
Kepler-939,Kepler-939 b,Transit,1,14.87829600,2228.62,5471.00,0.88,0.85,,,1.750,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-939_b/,,,4.54,,,-0.120,[Fe/H],4.470
Kepler-94,Kepler-94 b,Transit,2,2.50806000,192.97,4781.00,0.81,0.76,,10.84000,3.510,,2014,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-94_b/,,M0 V,4.59,,2.9000,0.340,[Fe/H],1.410
Kepler-94,Kepler-94 c,Radial Velocity,2,820.30000000,192.97,4781.00,0.81,0.76,,3126.00000,,,2014,10 m Keck I Telescope,http://exoplanet.eu/catalog/kepler-94_c/,,M0 V,4.59,,2.9000,0.340,[Fe/H],1.410
Kepler-940,Kepler-940 b,Transit,1,59.62252570,1306.20,5769.00,0.97,0.96,,,3.340,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-940_b/,,,4.47,,,-0.080,[Fe/H],3.630
Kepler-941,Kepler-941 b,Transit,1,17.42395198,1122.42,5539.00,0.89,0.86,,,3.080,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-941_b/,,,4.53,,,-0.150,[Fe/H],4.070
Kepler-942,Kepler-942 b,Transit,1,44.96417488,217.72,4861.00,0.81,0.75,,,2.130,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-942_b/,,,4.59,,,0.090,[Fe/H],4.170
